Hero,Role,Pick_rate,Win_rate,Tie_Rate,On_fire,Platform,Rank,Map
Moira,SUPPORT,7.88,50.1,2.45,9.57,PC,Gold,Horizon Lunar Colony
Mercy,SUPPORT,6.3,50.16,2.49,1.73,PC,Gold,Route 66
D.Va,TANK,4.93,49.7,2.41,6.59,PC,Gold,Tower
Zarya,TANK,4.54,47.72,2.45,7.56,PC,Gold,Dorado
L�cio,SUPPORT,3.84,50.17,2,11.76,PC,Gold,Tower
Baptiste,SUPPORT,3.65,46.59,2.38,10.19,PC,Gold,Dorado
Zenyatta,SUPPORT,3.64,51.49,2.15,6.28,PC,Gold,Route 66
Roadhog,TANK,3.48,49.47,1.91,8.58,PC,Gold,Horizon Lunar Colony
Genji,OFFENSE,3.37,48.27,2.09,10.36,PC,Gold,King's Row
McCree,OFFENSE,3.19,45.09,1.69,9.62,PC,Gold,Dorado
Hanzo,DEFENSE,3.05,46.91,2.17,11.9,PC,Gold,Horizon Lunar Colony
Reaper,OFFENSE,3.05,50.06,1.91,15.98,PC,Gold,Horizon Lunar Colony
Junkrat,DEFENSE,2.79,50.75,2.64,11.05,PC,Gold,Route 66
Orisa,TANK,2.79,54.05,2.55,7.81,PC,Gold,Hanamura
Wrecking Ball,TANK,2.71,50.49,2.07,2.79,PC,Gold,Hanamura
Winston,TANK,2.66,47.32,2.1,5.84,PC,Gold,Hanamura
Soldier: 76,OFFENSE,2.39,48.56,1.93,9.84,PC,Gold,Eichenwalde
Ashe,OFFENSE,2.37,49.56,2.22,8.78,PC,Gold,Hanamura
Widowmaker,DEFENSE,1.99,46.61,1.95,7.41,PC,Gold,Route 66
Brigitte,SUPPORT,1.99,55.46,2.27,12.31,PC,Gold,Tower
Pharah,OFFENSE,1.89,50.44,2.01,11.51,PC,Gold,Lijiang
Mei,DEFENSE,1.64,51.29,2.14,10.81,PC,Gold,Dorado
Doomfist,OFFENSE,1.48,50.08,1.85,8.2,PC,Gold,Lijiang
Torbj�rn,DEFENSE,1.34,56.95,2.76,9.39,PC,Gold,Horizon Lunar Colony
Sombra,OFFENSE,1.11,44.37,2.04,12.67,PC,Gold,Lijiang
Tracer,OFFENSE,1.11,44.36,1.64,6.38,PC,Gold,Hollywood
Symmetra,SUPPORT,1.03,55.77,3.07,8.88,PC,Gold,Dorado
Bastion,DEFENSE,0.66,50.01,2.92,15.84,PC,Gold,Lijiang
Reinhardt,TANK,9.97,51.21,2.46,7.86,PC,Platinum,Tower
Ana,SUPPORT,9.65,49.68,2.28,10.44,PC,Platinum,Eichenwalde
Moira,SUPPORT,5.63,52.46,2.26,10.16,PC,Platinum,King's Row
Zarya,TANK,5.33,50.05,2.24,9.28,PC,Platinum,Eichenwalde
Mercy,SUPPORT,4.69,52.12,2.48,1.98,PC,Platinum,Dorado
Genji,OFFENSE,4.56,49.94,1.88,11.43,PC,Platinum,Dorado
Zenyatta,SUPPORT,4.33,53.8,2.18,6.15,PC,Platinum,King's Row
McCree,OFFENSE,4.03,46.95,1.79,10.42,PC,Platinum,Lijiang
L�cio,SUPPORT,4.01,51.76,1.99,11.87,PC,Platinum,Route 66
D.Va,TANK,4.01,50.98,2.22,6.44,PC,Platinum,Eichenwalde
Roadhog,TANK,3.97,51.95,1.83,9.92,PC,Platinum,Dorado
Baptiste,SUPPORT,3.71,49.16,2.33,11.24,PC,Platinum,Eichenwalde
Hanzo,DEFENSE,3.63,49.47,2.22,13.51,PC,Platinum,Tower
Winston,TANK,3.18,48.45,1.8,6.33,PC,Platinum,Lijiang
Wrecking Ball,TANK,3.13,52.65,1.93,3.04,PC,Platinum,Eichenwalde
Ashe,OFFENSE,3.05,53.57,1.97,10.39,PC,Platinum,King's Row
Widowmaker,DEFENSE,2.83,49.11,1.84,8.63,PC,Platinum,Route 66
Orisa,TANK,2.47,56.1,2.2,8.41,PC,Platinum,Horizon Lunar Colony
Soldier: 76,OFFENSE,2.3,51.84,1.84,10.42,PC,Platinum,Hollywood
Reaper,OFFENSE,2.22,53.07,2.21,16.06,PC,Platinum,Lijiang
Doomfist,OFFENSE,1.96,52.81,1.91,8.78,PC,Platinum,Hollywood
Tracer,OFFENSE,1.64,47.15,2,6.96,PC,Platinum,Route 66
Junkrat,DEFENSE,1.56,52.03,2.94,10.64,PC,Platinum,Eichenwalde
Brigitte,SUPPORT,1.55,56.29,2.15,11.88,PC,Platinum,Horizon Lunar Colony
Pharah,OFFENSE,1.42,51.86,2.09,12.75,PC,Platinum,Hollywood
Sombra,OFFENSE,1.33,46.37,2.21,13.61,PC,Platinum,King's Row
Torbj�rn,DEFENSE,1.24,58.42,2.74,9.3,PC,Platinum,Hanamura
Mei,DEFENSE,1.21,54.58,2.68,10.2,PC,Platinum,Hanamura
Symmetra,SUPPORT,0.88,56.93,2.85,7.96,PC,Platinum,Hollywood
Bastion,DEFENSE,0.51,53.46,2.41,17.97,PC,Platinum,Horizon Lunar Colony
Reinhardt,TANK,9.66,50.53,2.41,7.72,PC,Diamond,Hanamura
Reinhardt,TANK,8.27,52.06,2.44,7.28,PC,Diamond,Eichenwalde
Zarya,TANK,5.5,51.25,2.26,10.3,PC,Diamond,Eichenwalde
Genji,OFFENSE,5.26,52.1,1.92,11.72,PC,Diamond,Horizon Lunar Colony
Zenyatta,SUPPORT,5.01,55.28,1.99,5.63,PC,Diamond,Horizon Lunar Colony
L�cio,SUPPORT,4.78,53,1.75,11.4,PC,Diamond,Lijiang
Mercy,SUPPORT,4.15,53.03,2.5,2.21,PC,Diamond,King's Row
McCree,OFFENSE,4.09,47.86,1.51,10.25,PC,Diamond,Route 66
Roadhog,TANK,4.04,54.15,1.78,9.82,PC,Diamond,Horizon Lunar Colony
Winston,TANK,3.9,49.79,1.99,6.39,PC,Diamond,Dorado
Widowmaker,DEFENSE,3.89,52.45,1.88,9.43,PC,Diamond,Lijiang
Wrecking Ball,TANK,3.82,54.07,2.07,3.16,PC,Diamond,Tower
Hanzo,DEFENSE,3.81,50.86,2.02,13.33,PC,Diamond,Eichenwalde
D.Va,TANK,3.6,50.56,2.35,5.74,PC,Diamond,King's Row
Moira,SUPPORT,3.56,53.75,2.05,10.26,PC,Diamond,Horizon Lunar Colony
Baptiste,SUPPORT,3.44,50.94,2.26,11.19,PC,Diamond,Lijiang
Ashe,OFFENSE,2.95,56.07,1.98,10.48,PC,Diamond,Dorado
Orisa,TANK,2.61,56.47,2.02,7.99,PC,Diamond,Tower
Tracer,OFFENSE,2.39,49.23,1.58,6.97,PC,Diamond,Tower
Soldier: 76,OFFENSE,2.24,53.57,1.83,10.03,PC,Diamond,Hollywood
Doomfist,OFFENSE,2.19,55.43,1.75,8.31,PC,Diamond,Dorado
Sombra,OFFENSE,1.45,49.76,2.28,13.34,PC,Diamond,Horizon Lunar Colony
Reaper,OFFENSE,1.37,54.14,2,14.42,PC,Diamond,Hollywood
Torbj�rn,DEFENSE,1.36,59.22,2.54,8.46,PC,Diamond,Horizon Lunar Colony
Brigitte,SUPPORT,1.25,55.72,1.65,10.68,PC,Diamond,King's Row
Mei,DEFENSE,1.06,54.47,2.19,9.36,PC,Diamond,Tower
Pharah,OFFENSE,0.89,54,1.74,11.96,PC,Diamond,King's Row
Symmetra,SUPPORT,0.82,56.62,2.53,7.15,PC,Diamond,Horizon Lunar Colony
Junkrat,DEFENSE,0.82,54.47,2.18,9.58,PC,Diamond,Dorado
Bastion,DEFENSE,0.43,54.72,3.76,17.74,PC,Diamond,Hollywood
Ana,SUPPORT,11.89,51.39,2.11,10.49,PC,Master,King's Row
Reinhardt,TANK,6.62,51.6,2.34,7.32,PC,Master,Hollywood
L�cio,SUPPORT,6.05,50.66,2.04,11.15,PC,Master,Dorado
Zenyatta,SUPPORT,5.38,53.77,2.1,5.1,PC,Master,Horizon Lunar Colony
Genji,OFFENSE,5.14,51.71,1.73,10.86,PC,Master,Dorado
Winston,TANK,4.88,50.76,1.99,6.15,PC,Master,Dorado
Zarya,TANK,4.86,51.13,2.23,10.31,PC,Master,Hollywood
Widowmaker,DEFENSE,4.54,50.55,1.75,8.54,PC,Master,Route 66
Mercy,SUPPORT,4.42,50.97,1.67,2.24,PC,Master,Hollywood
D.Va,TANK,4.35,49.31,1.82,4.92,PC,Master,Route 66
Wrecking Ball,TANK,4.16,51.57,1.99,3.13,PC,Master,Lijiang
Roadhog,TANK,3.91,53.3,1.85,9.17,PC,Master,Horizon Lunar Colony
Hanzo,DEFENSE,3.79,49.41,2.1,12.59,PC,Master,Eichenwalde
McCree,OFFENSE,3.54,48.44,1.72,9.18,PC,Master,Route 66
Orisa,TANK,3.44,56.11,2.19,7.94,PC,Master,Hanamura
Baptiste,SUPPORT,3.17,50.92,1.95,11.55,PC,Master,Eichenwalde
Tracer,OFFENSE,2.81,49.65,1.71,7.19,PC,Master,Tower
Ashe,OFFENSE,2.29,54.31,2.06,10.1,PC,Master,Tower
Doomfist,OFFENSE,2.09,56.15,1.76,7.27,PC,Master,Lijiang
Soldier: 76,OFFENSE,2.05,52.25,1.57,9.51,PC,Master,Eichenwalde
Sombra,OFFENSE,1.93,48.37,2.95,12.5,PC,Master,King's Row
Moira,SUPPORT,1.91,54.92,2.48,9.83,PC,Master,Route 66
Torbj�rn,DEFENSE,1.62,57.64,1.94,8.1,PC,Master,Tower
Brigitte,SUPPORT,1.24,52.57,1.88,9.94,PC,Master,Dorado
Mei,DEFENSE,0.91,58.06,2.02,8.11,PC,Master,King's Row
Symmetra,SUPPORT,0.7,55.71,2.3,5.57,PC,Master,Tower
Reaper,OFFENSE,0.64,53.36,2.27,12.66,PC,Master,Lijiang
Junkrat,DEFENSE,0.63,52.26,1.65,7.82,PC,Master,Lijiang
Pharah,OFFENSE,0.59,49.52,0.95,11,PC,Master,Hollywood
Bastion,DEFENSE,0.5,55.59,2.72,15.83,PC,Master,Tower
Ana,SUPPORT,9.94,53.68,1.89,11.68,PC,Grandmaster,Hanamura
L�cio,SUPPORT,6.93,53.61,1.69,12.59,PC,Grandmaster,King's Row
D.Va,TANK,5.76,53.31,2.54,6.07,PC,Grandmaster,Tower
Widowmaker,DEFENSE,5.36,53.21,1.2,10.1,PC,Grandmaster,Dorado
Zenyatta,SUPPORT,5.24,55.42,1.84,6.89,PC,Grandmaster,Dorado
Mercy,SUPPORT,4.95,54.3,2.14,2.28,PC,Grandmaster,Route 66
Reinhardt,TANK,4.88,53.81,2.04,8.53,PC,Grandmaster,Lijiang
Winston,TANK,4.86,53.22,1.85,6.54,PC,Grandmaster,Dorado
Wrecking Ball,TANK,4.69,53.11,1.82,3.29,PC,Grandmaster,Eichenwalde
Hanzo,DEFENSE,4.62,51.29,2.08,13.01,PC,Grandmaster,Horizon Lunar Colony
Orisa,TANK,4.61,57.34,2.2,8.9,PC,Grandmaster,Dorado
Roadhog,TANK,4.46,54.14,1.69,9.91,PC,Grandmaster,King's Row
Zarya,TANK,4.11,54.59,1.6,13.41,PC,Grandmaster,Route 66
Genji,OFFENSE,3.31,52.35,1.8,11.91,PC,Grandmaster,King's Row
Tracer,OFFENSE,3.26,53.46,1.78,7.87,PC,Grandmaster,Route 66
Baptiste,SUPPORT,2.71,53.3,2.25,12.59,PC,Grandmaster,Hanamura
Sombra,OFFENSE,2.57,52.13,3,12.15,PC,Grandmaster,King's Row
Torbj�rn,DEFENSE,2.39,56.71,2.29,7.64,PC,Grandmaster,Horizon Lunar Colony
McCree,OFFENSE,2.35,50.14,0.95,10.04,PC,Grandmaster,Dorado
Doomfist,OFFENSE,2.3,56,1.54,7.26,PC,Grandmaster,Hollywood
Soldier: 76,OFFENSE,1.83,55.68,1.14,9.81,PC,Grandmaster,Lijiang
Brigitte,SUPPORT,1.76,52.7,1.91,11.33,PC,Grandmaster,Horizon Lunar Colony
Ashe,OFFENSE,1.69,56.45,2.09,11.07,PC,Grandmaster,Hanamura
Mei,DEFENSE,1.41,56.14,2.29,8.03,PC,Grandmaster,Eichenwalde
Moira,SUPPORT,0.87,52.99,0.74,11.48,PC,Grandmaster,Hollywood
Symmetra,SUPPORT,0.79,59.5,2.64,6.17,PC,Grandmaster,Route 66
Bastion,DEFENSE,0.7,56,2.75,16.61,PC,Grandmaster,Route 66
Junkrat,DEFENSE,0.59,54.67,1.36,7.42,PC,Grandmaster,Eichenwalde
Pharah,OFFENSE,0.59,51.51,0.82,13.34,PC,Grandmaster,Lijiang
Reaper,OFFENSE,0.47,59.45,1.36,10.76,PC,Grandmaster,Hollywood
Reinhardt,TANK,9.66,50.53,2.41,7.72,PSN,All,Tower
Mercy,SUPPORT,7.44,50.2,2.31,1.81,PSN,All,Lijiang
Moira,SUPPORT,7.43,50.77,2.43,9.88,PSN,All,Eichenwalde
L�cio,SUPPORT,5.74,52.7,2.12,13.38,PSN,All,Hollywood
D.Va,TANK,5.71,51.03,2.45,8.12,PSN,All,King's Row
Orisa,TANK,4.91,55.16,2.45,8.95,PSN,All,Horizon Lunar Colony
Baptiste,SUPPORT,4.56,49.44,2.32,12.17,PSN,All,King's Row
Zarya,TANK,4,48.67,2.25,10.1,PSN,All,Dorado
Roadhog,TANK,3.93,51.12,1.9,10.32,PSN,All,Horizon Lunar Colony
Ana,SUPPORT,3.76,47.07,2.36,8.86,PSN,All,Lijiang
Hanzo,DEFENSE,3.37,47.98,2.23,13.91,PSN,All,Hollywood
Soldier: 76,OFFENSE,2.94,50.17,1.84,11.91,PSN,All,Lijiang
Junkrat,DEFENSE,2.92,50.78,2.91,11.83,PSN,All,Route 66
Reaper,OFFENSE,2.92,50.14,1.94,16.99,PSN,All,King's Row
Wrecking Ball,TANK,2.91,51.41,1.79,3.43,PSN,All,Hollywood
Zenyatta,SUPPORT,2.89,51.87,2.09,7,PSN,All,Dorado
McCree,OFFENSE,2.71,47.6,1.8,10.83,PSN,All,Hanamura
Genji,OFFENSE,2.64,48.66,1.82,10.02,PSN,All,Eichenwalde
Widowmaker,DEFENSE,2.37,47.54,1.88,8.92,PSN,All,Hollywood
Ashe,OFFENSE,2.1,50.92,1.98,9.3,PSN,All,Route 66
Pharah,OFFENSE,1.91,49.1,2.18,13.38,PSN,All,Horizon Lunar Colony
Sombra,OFFENSE,1.87,46.38,2.23,14.67,PSN,All,Lijiang
Symmetra,SUPPORT,1.73,57.01,2.9,10.16,PSN,All,Route 66
Torbj�rn,DEFENSE,1.7,55.3,2.43,10.03,PSN,All,Eichenwalde
Brigitte,SUPPORT,1.68,55.41,1.88,12.27,PSN,All,Horizon Lunar Colony
Winston,TANK,1.66,47.87,1.71,5.45,PSN,All,Hollywood
Tracer,OFFENSE,1.5,46.85,1.78,8.38,PSN,All,Horizon Lunar Colony
Mei,DEFENSE,1.41,51.49,2.31,11.21,PSN,All,Lijiang
Doomfist,OFFENSE,1.24,51.04,1.39,8.02,PSN,All,Eichenwalde
Bastion,DEFENSE,1.1,49.2,3.04,15.95,PSN,All,Tower
Reinhardt,TANK,8.92,49.73,2.49,7.57,PSN,Bronze,Horizon Lunar Colony
Moira,SUPPORT,8.6,49.91,2.51,7.46,PSN,Bronze,Tower
Mercy,SUPPORT,7.83,43.61,2.76,1.17,PSN,Bronze,Eichenwalde
D.Va,TANK,7.83,44.49,3.35,5.25,PSN,Bronze,Hanamura
Orisa,TANK,6.42,51.37,3.61,5.63,PSN,Bronze,Route 66
L�cio,SUPPORT,5.34,49.41,1.73,9.45,PSN,Bronze,Eichenwalde
Soldier: 76,OFFENSE,3.66,42.54,3.8,8.62,PSN,Bronze,King's Row
Symmetra,SUPPORT,3.63,55.36,0.85,8.68,PSN,Bronze,Route 66
Zenyatta,SUPPORT,3.55,38.05,1.74,5.61,PSN,Bronze,Eichenwalde
Reaper,OFFENSE,3.33,50.93,0.93,14.97,PSN,Bronze,Lijiang
Baptiste,SUPPORT,3.18,45.81,1.46,6.31,PSN,Bronze,Lijiang
Junkrat,DEFENSE,3.12,35.35,1.98,11.32,PSN,Bronze,King's Row
Bastion,DEFENSE,2.69,42.94,2.3,9.97,PSN,Bronze,Eichenwalde
Ana,SUPPORT,2.67,41.07,2.89,4.59,PSN,Bronze,Lijiang
Roadhog,TANK,2.58,40.36,0.6,5.3,PSN,Bronze,Tower
Widowmaker,DEFENSE,2.53,38.51,1.83,6.76,PSN,Bronze,Horizon Lunar Colony
Zarya,TANK,2.42,44.23,0.64,4.61,PSN,Bronze,Eichenwalde
Mei,DEFENSE,2.3,40,2.68,8.28,PSN,Bronze,Hanamura
Wrecking Ball,TANK,2.25,41.26,2.05,2.2,PSN,Bronze,Hanamura
Torbj�rn,DEFENSE,2.25,46.9,0.68,7.2,PSN,Bronze,Eichenwalde
Hanzo,DEFENSE,2.15,37.78,2.88,9.78,PSN,Bronze,Horizon Lunar Colony
Ashe,OFFENSE,2.02,41.41,2.29,3.71,PSN,Bronze,Eichenwalde
Sombra,OFFENSE,1.74,33.33,1.77,8.72,PSN,Bronze,King's Row
Winston,TANK,1.7,44.04,0.91,2.76,PSN,Bronze,Lijiang
McCree,OFFENSE,1.59,37.86,0,9.02,PSN,Bronze,Hanamura
Brigitte,SUPPORT,1.48,53.19,2.08,5.52,PSN,Bronze,Eichenwalde
Tracer,OFFENSE,1.39,43.33,0,5.58,PSN,Bronze,Eichenwalde
Pharah,OFFENSE,1.39,41.11,0,8.03,PSN,Bronze,Lijiang
Genji,OFFENSE,1.31,34.94,2.35,7.22,PSN,Bronze,Hollywood
Doomfist,OFFENSE,0.42,51.85,0,3,PSN,Bronze,Lijiang
Reinhardt,TANK,8.62,46.9,1.79,4.86,PSN,Silver,Hollywood
D.Va,TANK,7.98,47.75,2.05,7.24,PSN,Silver,Tower
Reinhardt,TANK,7.95,46.03,2.29,6.68,PSN,Silver,Horizon Lunar Colony
Mercy,SUPPORT,7.65,46.07,2.29,1.18,PSN,Silver,Lijiang
L�cio,SUPPORT,6.17,50.04,2.26,11.46,PSN,Silver,Horizon Lunar Colony
Orisa,TANK,5.84,50.76,2.69,7.56,PSN,Silver,Hollywood
Junkrat,DEFENSE,3.99,44.98,2.45,10.84,PSN,Silver,Hollywood
Baptiste,SUPPORT,3.77,45.57,1.94,9.81,PSN,Silver,Route 66
Zenyatta,SUPPORT,3.29,51.17,2.02,7.3,PSN,Silver,Eichenwalde
Reaper,OFFENSE,3.29,44.07,1.62,16.45,PSN,Silver,King's Row
Soldier: 76,OFFENSE,2.96,47.29,1.94,10.6,PSN,Silver,Hollywood
Zarya,TANK,2.93,45.72,2.65,6.9,PSN,Silver,Hollywood
Symmetra,SUPPORT,2.92,55.68,3.18,10.26,PSN,Silver,Horizon Lunar Colony
Ana,SUPPORT,2.82,41.79,3.15,6.09,PSN,Silver,Horizon Lunar Colony
Hanzo,DEFENSE,2.37,44.73,2.43,10.51,PSN,Silver,Dorado
Roadhog,TANK,2.33,48.39,2.1,6.98,PSN,Silver,Hanamura
Torbj�rn,DEFENSE,2.26,54.4,2.94,10.36,PSN,Silver,Hanamura
Bastion,DEFENSE,2.15,43.46,2.99,14.15,PSN,Silver,Horizon Lunar Colony
Wrecking Ball,TANK,1.97,45.76,1.91,2.35,PSN,Silver,Dorado
Brigitte,SUPPORT,1.9,48.2,2.69,10.56,PSN,Silver,Hanamura
Widowmaker,DEFENSE,1.82,40.67,1.46,6.18,PSN,Silver,Tower
Mei,DEFENSE,1.75,47.42,1.9,11.29,PSN,Silver,Horizon Lunar Colony
Pharah,OFFENSE,1.68,42.84,2.37,7.75,PSN,Silver,Dorado
Winston,TANK,1.59,43.16,2.09,4.26,PSN,Silver,Route 66
Genji,OFFENSE,1.57,44.4,1.69,7.06,PSN,Silver,Lijiang
Ashe,OFFENSE,1.53,48.37,2.6,6.52,PSN,Silver,Eichenwalde
McCree,OFFENSE,1.52,43.93,2.49,8.25,PSN,Silver,Hanamura
Sombra,OFFENSE,1.35,37.44,2.63,9.2,PSN,Silver,Route 66
Tracer,OFFENSE,1.23,47.43,1.98,7.21,PSN,Silver,King's Row
Doomfist,OFFENSE,0.65,47.26,0.34,7.27,PSN,Silver,Hanamura
Moira,SUPPORT,10.78,48.46,2.61,8.68,PSN,Gold,Route 66
Reinhardt,TANK,9.3,48.57,2.52,7.11,PSN,Gold,Hanamura
Mercy,SUPPORT,7.42,48.22,2.65,1.53,PSN,Gold,Lijiang
D.Va,TANK,7.37,50.29,2.54,7.88,PSN,Gold,Tower
L�cio,SUPPORT,6.2,52.05,2.18,12.97,PSN,Gold,Dorado
Orisa,TANK,4.6,53.53,2.82,8.02,PSN,Gold,Horizon Lunar Colony
Baptiste,SUPPORT,4.22,46.78,2.64,10.91,PSN,Gold,Route 66
Junkrat,DEFENSE,3.89,49.23,3.01,11.85,PSN,Gold,Lijiang
Zarya,TANK,3.68,45.71,2.22,8.11,PSN,Gold,Hanamura
Ana,SUPPORT,3.46,44.33,2.59,7.88,PSN,Gold,Eichenwalde
Zenyatta,SUPPORT,3.21,50.75,1.92,7.31,PSN,Gold,Lijiang
Reaper,OFFENSE,3.19,47.82,2.24,16.12,PSN,Gold,King's Row
Soldier: 76,OFFENSE,2.74,47.7,2.01,10.96,PSN,Gold,Tower
Roadhog,TANK,2.74,48.17,1.86,8.02,PSN,Gold,Hanamura
Hanzo,DEFENSE,2.67,46.49,2.62,12.33,PSN,Gold,King's Row
Wrecking Ball,TANK,2.44,48.03,1.77,2.81,PSN,Gold,Hanamura
Symmetra,SUPPORT,2.05,56.75,3.07,10.04,PSN,Gold,Dorado
Brigitte,SUPPORT,2.04,53.87,2.09,12.15,PSN,Gold,Tower
McCree,OFFENSE,1.97,43.81,1.88,9.11,PSN,Gold,Lijiang
Genji,OFFENSE,1.95,45.69,1.9,8.18,PSN,Gold,Horizon Lunar Colony
Ashe,OFFENSE,1.79,47.63,2.32,7.14,PSN,Gold,Route 66
Mei,DEFENSE,1.78,50.31,2.46,11.45,PSN,Gold,Tower
Sombra,OFFENSE,1.7,42.44,2.15,12.64,PSN,Gold,Lijiang
Torbj�rn,DEFENSE,1.67,53.88,2.43,9.86,PSN,Gold,Horizon Lunar Colony
Winston,TANK,1.65,46.2,1.89,4.72,PSN,Gold,Hollywood
Widowmaker,DEFENSE,1.63,43.56,2.17,6.69,PSN,Gold,Tower
Pharah,OFFENSE,1.57,46.1,2.37,10.04,PSN,Gold,Hanamura
Tracer,OFFENSE,1.22,44.28,2.1,7.42,PSN,Gold,Horizon Lunar Colony
Bastion,DEFENSE,1.2,46.97,3.14,14.14,PSN,Gold,Dorado
Doomfist,OFFENSE,1.12,47.82,2.01,7.25,PSN,Gold,King's Row
Reinhardt,TANK,9.66,50.01,2.62,7.81,PSN,Platinum,Dorado
Moira,SUPPORT,7.7,51.21,2.53,10.26,PSN,Platinum,King's Row
Mercy,SUPPORT,6.71,50.09,2.31,1.81,PSN,Platinum,Hanamura
D.Va,TANK,5.65,51.74,2.58,8.52,PSN,Platinum,Horizon Lunar Colony
L�cio,SUPPORT,5.5,52.82,2.12,13.89,PSN,Platinum,Hollywood
Baptiste,SUPPORT,4.64,49.61,2.42,12.5,PSN,Platinum,Hollywood
Zarya,TANK,4.36,48.57,2.46,10.29,PSN,Platinum,Hanamura
Ana,SUPPORT,4.18,47.09,2.35,9.29,PSN,Platinum,Hanamura
Orisa,TANK,4.13,55.76,2.64,9.18,PSN,Platinum,Tower
Roadhog,TANK,3.85,50.58,1.83,10.57,PSN,Platinum,Route 66
Hanzo,DEFENSE,3.31,47.93,2.34,13.98,PSN,Platinum,Route 66
Reaper,OFFENSE,3.31,51.26,1.93,17.66,PSN,Platinum,Eichenwalde
Junkrat,DEFENSE,3.07,52.21,3.03,12.17,PSN,Platinum,Horizon Lunar Colony
Wrecking Ball,TANK,3.04,51.6,1.89,3.42,PSN,Platinum,Route 66
Genji,OFFENSE,3.02,48.37,1.89,9.93,PSN,Platinum,Dorado
McCree,OFFENSE,2.89,47.81,1.82,10.59,PSN,Platinum,Hanamura
Zenyatta,SUPPORT,2.87,51.75,2.32,7.13,PSN,Platinum,King's Row
Soldier: 76,OFFENSE,2.79,50.31,1.86,11.94,PSN,Platinum,Lijiang
Widowmaker,DEFENSE,2.38,46.9,1.88,8.71,PSN,Platinum,Lijiang
Ashe,OFFENSE,2.12,50.52,1.89,9.26,PSN,Platinum,Eichenwalde
Winston,TANK,1.72,48.54,1.78,5.6,PSN,Platinum,Horizon Lunar Colony
Pharah,OFFENSE,1.72,48.82,2.1,14.13,PSN,Platinum,Route 66
Brigitte,SUPPORT,1.69,57.46,1.6,12.78,PSN,Platinum,Hollywood
Sombra,OFFENSE,1.69,46.52,2.39,15.06,PSN,Platinum,Horizon Lunar Colony
Symmetra,SUPPORT,1.54,57.54,3.31,10.51,PSN,Platinum,Eichenwalde
Torbj�rn,DEFENSE,1.53,57.67,2.72,10.33,PSN,Platinum,Dorado
Tracer,OFFENSE,1.44,46.38,1.68,8.35,PSN,Platinum,Dorado
Mei,DEFENSE,1.33,51.94,2.38,11.25,PSN,Platinum,Lijiang
Doomfist,OFFENSE,1.3,50.15,1.42,8.01,PSN,Platinum,Route 66
Bastion,DEFENSE,0.87,49.68,3.14,17.03,PSN,Platinum,Tower
Reinhardt,TANK,8.74,51.41,2.42,7.93,PSN,Diamond,Dorado
Mercy,SUPPORT,7.3,52.63,2.13,2.12,PSN,Diamond,Lijiang
L�cio,SUPPORT,5.41,53.67,2.08,13.72,PSN,Diamond,Hanamura
Moira,SUPPORT,5.4,53.78,2.01,10.37,PSN,Diamond,Dorado
Orisa,TANK,4.95,56.35,2.01,9.34,PSN,Diamond,Hollywood
Roadhog,TANK,4.91,53.22,2.16,11.52,PSN,Diamond,Eichenwalde
Baptiste,SUPPORT,4.91,51.62,2.11,12.98,PSN,Diamond,Hollywood
Zarya,TANK,4.56,52.06,1.94,11.9,PSN,Diamond,Dorado
D.Va,TANK,4.3,53.75,2.11,8.38,PSN,Diamond,Eichenwalde
Ana,SUPPORT,4.14,50.02,2.02,9.48,PSN,Diamond,King's Row
Hanzo,DEFENSE,3.89,49.65,1.87,14.82,PSN,Diamond,Hollywood
McCree,OFFENSE,3.5,49.53,1.59,12.16,PSN,Diamond,Lijiang
Wrecking Ball,TANK,3.49,53.96,1.58,3.85,PSN,Diamond,Horizon Lunar Colony
Genji,OFFENSE,3.2,50.88,1.74,11.11,PSN,Diamond,Hanamura
Soldier: 76,OFFENSE,3.09,52.15,1.6,12.46,PSN,Diamond,King's Row
Widowmaker,DEFENSE,3.01,50.57,2.02,10.31,PSN,Diamond,Dorado
Zenyatta,SUPPORT,2.76,54.54,2.15,6.52,PSN,Diamond,Lijiang
Ashe,OFFENSE,2.46,53.42,1.66,10.56,PSN,Diamond,Horizon Lunar Colony
Reaper,OFFENSE,2.41,53.49,1.87,17.13,PSN,Diamond,Tower
Sombra,OFFENSE,2.2,48.83,2.18,16.48,PSN,Diamond,Route 66
Pharah,OFFENSE,2.13,50.46,1.92,15.31,PSN,Diamond,Dorado
Winston,TANK,1.78,49.61,1.37,6.13,PSN,Diamond,Hollywood
Tracer,OFFENSE,1.78,48.09,1.89,8.65,PSN,Diamond,Horizon Lunar Colony
Torbj�rn,DEFENSE,1.76,55.45,2.15,10.24,PSN,Diamond,Eichenwalde
Junkrat,DEFENSE,1.69,55.3,3.13,11.62,PSN,Diamond,Hanamura
Brigitte,SUPPORT,1.42,56.12,2.01,12.49,PSN,Diamond,Hanamura
Doomfist,OFFENSE,1.39,54.87,1.03,8.83,PSN,Diamond,Horizon Lunar Colony
Symmetra,SUPPORT,1.33,57.43,2.42,10.39,PSN,Diamond,Hanamura
Mei,DEFENSE,1.2,54.99,2.49,11.17,PSN,Diamond,Dorado
Bastion,DEFENSE,0.88,53.78,2.93,18.25,PSN,Diamond,King's Row
Mercy,SUPPORT,10.81,51.66,2.09,2.19,PSN,Master,Dorado
